,Base Country,Base Country Lat,Base Country Lng,Relation Country,Relation Country Lat,Relation Country Lng,Men,Women,Children,Sex Trafficking,Forced Labor,Debt Bondage,Description
32,Algeria,28.033886,1.659626,Liberia,6.428055,-9.429499000000002,1,0,0,1,0,0," Undocumented sub-Saharan migrants, primarily from Mali, Niger, Burkina Faso, Cameroon, Guinea, Liberia, and Nigeria, are most vulnerable to labor and sex trafficking in Algeria, mainly due to their irregular migration status, poverty, and language barriers"
33,Algeria,28.033886,1.659626,Guinea,9.945587,-9.696645,1,0,0,1,0,0," Undocumented sub-Saharan migrants, primarily from Mali, Niger, Burkina Faso, Cameroon, Guinea, Liberia, and Nigeria, are most vulnerable to labor and sex trafficking in Algeria, mainly due to their irregular migration status, poverty, and language barriers"
34,Algeria,28.033886,1.659626,Mali,17.570692,-3.996166,1,0,0,1,0,0," Undocumented sub-Saharan migrants, primarily from Mali, Niger, Burkina Faso, Cameroon, Guinea, Liberia, and Nigeria, are most vulnerable to labor and sex trafficking in Algeria, mainly due to their irregular migration status, poverty, and language barriers"
35,Algeria,28.033886,1.659626,Cameroon,7.369721999999999,12.354722,1,0,0,1,0,0," Undocumented sub-Saharan migrants, primarily from Mali, Niger, Burkina Faso, Cameroon, Guinea, Liberia, and Nigeria, are most vulnerable to labor and sex trafficking in Algeria, mainly due to their irregular migration status, poverty, and language barriers"
36,Algeria,28.033886,1.659626,Burkina Faso,12.238333,-1.561593,1,0,0,1,0,0," Undocumented sub-Saharan migrants, primarily from Mali, Niger, Burkina Faso, Cameroon, Guinea, Liberia, and Nigeria, are most vulnerable to labor and sex trafficking in Algeria, mainly due to their irregular migration status, poverty, and language barriers"
37,Angola,-11.202692,17.873887,Kenya,-0.023559,37.906193,1,0,0,0,1,0," Chinese, Southeast Asian, Brazilian, Namibian, Kenyan, and possibly Congolese migrants are subjected to forced labor in Angola's construction industry; they may be subject to withholding of passports, threats of violence, denial of food, and confinement"
38,Angola,-11.202692,17.873887,Brazil,-14.235004,-51.92528,1,0,0,0,1,0," Chinese, Southeast Asian, Brazilian, Namibian, Kenyan, and possibly Congolese migrants are subjected to forced labor in Angola's construction industry; they may be subject to withholding of passports, threats of violence, denial of food, and confinement"
39,Angola,-11.202692,17.873887,Vietnam,14.058324,108.277199,0,1,0,1,0,0,"Women from Namibia, the DRC, Vietnam, and Brazil engaged in prostitution in Angola may be victims of sex trafficking"
40,Angola,-11.202692,17.873887,Namibia,-22.95764,18.49041,0,1,0,1,0,0,"Women from Namibia, the DRC, Vietnam, and Brazil engaged in prostitution in Angola may be victims of sex trafficking"
41,Angola,-11.202692,17.873887,Brazil,-14.235004,-51.92528,0,1,0,1,0,0,"Women from Namibia, the DRC, Vietnam, and Brazil engaged in prostitution in Angola may be victims of sex trafficking"
42,Angola,-11.202692,17.873887,Portugal,39.39987199999999,-8.224454,0,1,1,1,0,0," Angolan women and children are subjected to domestic servitude and sex trafficking in South Africa, Namibia, and European countries, including the Netherlands and Portugal"
43,Angola,-11.202692,17.873887,Namibia,-22.95764,18.49041,1,0,0,0,1,0," Chinese, Southeast Asian, Brazilian, Namibian, Kenyan, and possibly Congolese migrants are subjected to forced labor in Angola's construction industry; they may be subject to withholding of passports, threats of violence, denial of food, and confinement"
44,Angola,-11.202692,17.873887,Netherlands,52.132633,5.291265999999999,0,1,1,1,0,0," Angolan women and children are subjected to domestic servitude and sex trafficking in South Africa, Namibia, and European countries, including the Netherlands and Portugal"
45,Angola,-11.202692,17.873887,Namibia,-22.95764,18.49041,0,1,1,1,0,0," Angolan women and children are subjected to domestic servitude and sex trafficking in South Africa, Namibia, and European countries, including the Netherlands and Portugal"
46,Angola,-11.202692,17.873887,Namibia,-22.95764,18.49041,0,0,1,0,1,0," Some Angolan boys are taken to Namibia for forced labor in cattle herding, while others are forced to serve as 73ANTIGUA AND BARBUDAcouriers to transport illicit goods, as part of a scheme to skirt import fees in cross-border trade with Namibia"
47,Angola,-11.202692,17.873887,South Africa,-30.559482,22.937506,0,1,1,1,0,0," Angolan women and children are subjected to domestic servitude and sex trafficking in South Africa, Namibia, and European countries, including the Netherlands and Portugal"
48,Antigua and Barbuda,17.060816,-61.796428,Guyana,4.860416,-58.93018,1,0,0,0,0,0," Legal and undocumented immigrants from the Caribbean region, notably from Jamaica, Guyana, and the Dominican Republic are most vulnerable to trafficking"
49,Antigua and Barbuda,17.060816,-61.796428,Jamaica,18.109581,-77.297508,1,0,0,0,0,0," Legal and undocumented immigrants from the Caribbean region, notably from Jamaica, Guyana, and the Dominican Republic are most vulnerable to trafficking"
50,Antigua and Barbuda,17.060816,-61.796428,Dominican Republic,18.735693,-70.162651,1,0,0,0,0,0," Legal and undocumented immigrants from the Caribbean region, notably from Jamaica, Guyana, and the Dominican Republic are most vulnerable to trafficking"
51,Argentina,-38.416097,-63.61667199999999,Bolivia,-16.290154,-63.58865299999999,0,1,1,1,0,0," Argentine women and children are subjected to sex trafficking within the country, as are women and children from other Latin American countries, particularly Dominican Republic, Paraguay, Bolivia, Uruguay, and Brazil"
52,Argentina,-38.416097,-63.61667199999999,Brazil,-14.235004,-51.92528,0,1,1,1,0,0," Argentine women and children are subjected to sex trafficking within the country, as are women and children from other Latin American countries, particularly Dominican Republic, Paraguay, Bolivia, Uruguay, and Brazil"
53,Argentina,-38.416097,-63.61667199999999,Dominican Republic,18.735693,-70.162651,0,1,1,1,0,0," Argentine women and children are subjected to sex trafficking within the country, as are women and children from other Latin American countries, particularly Dominican Republic, Paraguay, Bolivia, Uruguay, and Brazil"
54,Argentina,-38.416097,-63.61667199999999,Paraguay,-23.442503,-58.443832,0,1,1,1,0,0," Argentine women and children are subjected to sex trafficking within the country, as are women and children from other Latin American countries, particularly Dominican Republic, Paraguay, Bolivia, Uruguay, and Brazil"
55,Argentina,-38.416097,-63.61667199999999,Uruguay,-32.522779,-55.765835,0,1,1,1,0,0," Argentine women and children are subjected to sex trafficking within the country, as are women and children from other Latin American countries, particularly Dominican Republic, Paraguay, Bolivia, Uruguay, and Brazil"
56,Argentina,-38.416097,-63.61667199999999,Bolivia,-16.290154,-63.58865299999999,1,1,1,0,1,0," Men, women, and children from Argentina, Bolivia, Paraguay, Peru, and other countries are subjected to forced labor in a variety of sectors, including sweatshops, agriculture, street vending, charcoal and brick production, domestic work, and small businesses"
57,Argentina,-38.416097,-63.61667199999999,Paraguay,-23.442503,-58.443832,1,1,1,0,1,0," Men, women, and children from Argentina, Bolivia, Paraguay, Peru, and other countries are subjected to forced labor in a variety of sectors, including sweatshops, agriculture, street vending, charcoal and brick production, domestic work, and small businesses"
58,Argentina,-38.416097,-63.61667199999999,Peru,-9.189967,-75.015152,1,1,1,0,1,0," Men, women, and children from Argentina, Bolivia, Paraguay, Peru, and other countries are subjected to forced labor in a variety of sectors, including sweatshops, agriculture, street vending, charcoal and brick production, domestic work, and small businesses"
59,Armenia,40.069099,45.038189,Russia,61.52401,105.318756,0,1,1,1,0,0," Armenians are subjected to labor trafficking in Russia, the United Arab Emirates (UAE), and Turkey; Armenian women and children are subjected to sex trafficking in the UAE and Turkey"
60,Armenia,40.069099,45.038189,Turkey,38.963745,35.243322,0,1,1,1,0,0," Armenians are subjected to labor trafficking in Russia, the United Arab Emirates (UAE), and Turkey; Armenian women and children are subjected to sex trafficking in the UAE and Turkey"
61,Armenia,40.069099,45.038189,United Arab Emirates,23.424076,53.847818,0,1,1,1,0,0," Armenians are subjected to labor trafficking in Russia, the United Arab Emirates (UAE), and Turkey; Armenian women and children are subjected to sex trafficking in the UAE and Turkey"
62,Aruba,12.52111,-69.968338,Venezuela,6.42375,-66.58973,0,1,0,1,1,0," Venezuelan women are subjected to sex trafficking in Aruba, and foreign men and women are vulnerable to forced labor in the service and construction industries"
63,Aruba,12.52111,-69.968338,Venezuela,6.42375,-66.58973,1,0,0,0,0,0," Due to the deteriorating situation in Venezuela, the number of individuals overstaying their visa increased, leaving those with expired documentation vulnerable to trafficking"
64,Aruba,12.52111,-69.968338,India,20.593684,78.96288,0,1,0,0,1,0," Chinese men and women working in supermarkets, Indian men in the retail sector and domestic service, and Caribbean and South American women in domestic service are also at risk of forced labor"
65,Azerbaijan,40.143105,47.576927,Turkmenistan,38.969719,59.556278,1,0,0,1,0,0," Azerbaijan is a destination country for sex and labor trafficking victims from Ukraine, China, Russia, Turkmenistan, and Uzbekistan"
66,Azerbaijan,40.143105,47.576927,Russia,61.52401,105.318756,1,0,0,1,0,0," Azerbaijan is a destination country for sex and labor trafficking victims from Ukraine, China, Russia, Turkmenistan, and Uzbekistan"
67,Azerbaijan,40.143105,47.576927,Uzbekistan,41.377491,64.585262,1,0,0,1,0,0," Azerbaijan is a destination country for sex and labor trafficking victims from Ukraine, China, Russia, Turkmenistan, and Uzbekistan"
68,Azerbaijan,40.143105,47.576927,Ukraine,48.379433,31.1655799,1,0,0,1,0,0," Azerbaijan is a destination country for sex and labor trafficking victims from Ukraine, China, Russia, Turkmenistan, and Uzbekistan"
69,Azerbaijan,40.143105,47.576927,Turkey,38.963745,35.243322,0,1,1,1,0,0," Women and children from Azerbaijan are subjected to sex trafficking within the country as well as in Malaysia, Turkey, Russia, Pakistan, and the UAE"
70,Azerbaijan,40.143105,47.576927,China,35.86166,104.195397,1,0,0,1,0,0," Azerbaijan is a destination country for sex and labor trafficking victims from Ukraine, China, Russia, Turkmenistan, and Uzbekistan"
71,Azerbaijan,40.143105,47.576927,Pakistan,30.375321,69.34511599999999,0,1,1,1,0,0," Women and children from Azerbaijan are subjected to sex trafficking within the country as well as in Malaysia, Turkey, Russia, Pakistan, and the UAE"
72,Azerbaijan,40.143105,47.576927,Russia,61.52401,105.318756,0,1,1,1,0,0," Women and children from Azerbaijan are subjected to sex trafficking within the country as well as in Malaysia, Turkey, Russia, Pakistan, and the UAE"
73,Azerbaijan,40.143105,47.576927,Malaysia,4.210484,101.975766,0,1,1,1,0,0," Women and children from Azerbaijan are subjected to sex trafficking within the country as well as in Malaysia, Turkey, Russia, Pakistan, and the UAE"
74,Azerbaijan,40.143105,47.576927,United Arab Emirates,23.424076,53.847818,1,0,1,0,1,0," Azerbaijani men and boys are subjected to forced labor in Turkey, Russia, the United Arab Emirates (UAE), and Azerbaijan"
75,Azerbaijan,40.143105,47.576927,Turkey,38.963745,35.243322,1,0,1,0,1,0," Azerbaijani men and boys are subjected to forced labor in Turkey, Russia, the United Arab Emirates (UAE), and Azerbaijan"
76,Azerbaijan,40.143105,47.576927,Russia,61.52401,105.318756,1,0,1,0,1,0," Azerbaijani men and boys are subjected to forced labor in Turkey, Russia, the United Arab Emirates (UAE), and Azerbaijan"
77,Bahrain,26.0667,50.5577,Colombia,4.570868,-74.297333,0,1,0,0,1,0," During the reporting period, local press reported women from Russia, Thailand, and Colombia were recruited to Bahrain via social media platforms or Bahrain-based acquaintances with false pretenses of high-paying jobs and subsequently forced into prostitution"
78,Bahrain,26.0667,50.5577,Bangladesh,23.684994,90.356331,1,0,0,0,0,0," In recent years, and particularly during the current reporting period, the greatest inftux of workers hailed from Bangladesh, and the Bangladeshi population represented the majority of undocumented workers"
79,Bahrain,26.0667,50.5577,Yemen,15.552727,48.516388,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
80,Bahrain,26.0667,50.5577,Thailand,15.870032,100.992541,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
81,Bahrain,26.0667,50.5577,Syria,34.80207499999999,38.996815,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
82,Bahrain,26.0667,50.5577,Philippines,12.879721,121.774017,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
83,Bahrain,26.0667,50.5577,Pakistan,30.375321,69.34511599999999,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
84,Bahrain,26.0667,50.5577,Nepal,28.394857,84.12400799999999,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
85,Bahrain,26.0667,50.5577,Kenya,-0.023559,37.906193,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
86,Bahrain,26.0667,50.5577,Jordan,30.585164,36.238414,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
87,Bahrain,26.0667,50.5577,Bangladesh,23.684994,90.356331,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
88,Bahrain,26.0667,50.5577,Egypt,26.820553,30.802498,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
89,Bahrain,26.0667,50.5577,Russia,61.52401,105.318756,0,1,0,0,1,0," During the reporting period, local press reported women from Russia, Thailand, and Colombia were recruited to Bahrain via social media platforms or Bahrain-based acquaintances with false pretenses of high-paying jobs and subsequently forced into prostitution"
90,Bahrain,26.0667,50.5577,Saudi Arabia,23.885942,45.079162,1,0,0,0,0,0," Many migrant workers are paired with employers through intermediaries in Bahrain and unlicensed recruiters in their respective countries of origin, in addition to back-and-forth movement between Saudi Arabia and Bahrain via the causeway as Saudi nationals are able to sponsor foreign workers in Bahrain"
91,Bahrain,26.0667,50.5577,India,20.593684,78.96288,1,1,0,0,0,0," Men and women, primarily from Bangladesh, India, Pakistan, Philippines, Nepal, Egypt, Jordan, Yemen, Thailand, Syria, and Kenya, among other countries, migrate voluntarily to Bahrain to work as semi-skilled or unskilled laborers in the construction and service industries"
92,Bahrain,26.0667,50.5577,Thailand,15.870032,100.992541,0,1,0,0,1,0," During the reporting period, local press reported women from Russia, Thailand, and Colombia were recruited to Bahrain via social media platforms or Bahrain-based acquaintances with false pretenses of high-paying jobs and subsequently forced into prostitution"
93,Bangladesh,23.684994,90.356331,United States,37.09024,-95.712891,0,1,0,0,1,0," Some Bangladeshi men and women who migrate willingly to work in the Middle East, Southern and East Africa, South and Southeast Asia, Europe, and the United States face conditions indicative of forced labor"
94,Bangladesh,23.684994,90.356331,Jordan,30.585164,36.238414,0,1,0,1,1,0, Some women who migrate through Bangladeshi recruitment agencies to Lebanon or Jordan for domestic work are sold and transported to Syria and subjected to forced labor and sex trafficking
95,Bangladesh,23.684994,90.356331,Lebanon,33.854721,35.862285,0,1,0,1,1,0, Some women who migrate through Bangladeshi recruitment agencies to Lebanon or Jordan for domestic work are sold and transported to Syria and subjected to forced labor and sex trafficking
96,Bangladesh,23.684994,90.356331,Syria,34.80207499999999,38.996815,0,1,0,1,1,0, Some women who migrate through Bangladeshi recruitment agencies to Lebanon or Jordan for domestic work are sold and transported to Syria and subjected to forced labor and sex trafficking
97,Bangladesh,23.684994,90.356331,India,20.593684,78.96288,0,1,1,1,1,0, Some women and children are subjected to 92BARBADOSsex trafficking and forced labor in India and Pakistan
98,Bangladesh,23.684994,90.356331,Pakistan,30.375321,69.34511599999999,0,1,1,1,1,0, Some women and children are subjected to 92BARBADOSsex trafficking and forced labor in India and Pakistan
99,Bangladesh,23.684994,90.356331,Burma,21.916221,95.955974,1,0,0,0,0,0," With nearly 700,000 Rohingya fteeing Burma for Bangladesh since August 2017, Bangladesh is host to more than 1 million undocumented Rohingya, including hundreds of thousands who fted Burma in previous decades"
100,Bangladesh,23.684994,90.356331,Burma,21.916221,95.955974,1,0,0,0,0,1, Some Rohingya men who fted to Bangladesh from Burma decades ago have been trapped in debt bondage to Bangladeshi fishermen for 20 years
101,Barbados,13.193887,-59.543198,Guyana,4.860416,-58.93018,1,0,0,0,0,0," Legal and undocumented immigrants from Jamaica and Guyana are especially vulnerable to trafficking, although individuals from additional countries in the Caribbean and South America are increasingly vulnerable"
102,Barbados,13.193887,-59.543198,Jamaica,18.109581,-77.297508,1,0,0,0,0,0," Legal and undocumented immigrants from Jamaica and Guyana are especially vulnerable to trafficking, although individuals from additional countries in the Caribbean and South America are increasingly vulnerable"
103,Belarus,53.709807,27.953389,Vietnam,14.058324,108.277199,1,0,0,0,0,0," The government has identified Belarusian, Moldovan, Russian, Ukrainian, and Vietnamese victims exploited in Belarus"
104,Belarus,53.709807,27.953389,Russia,61.52401,105.318756,1,0,0,0,0,0," The government has identified Belarusian, Moldovan, Russian, Ukrainian, and Vietnamese victims exploited in Belarus"
105,Belarus,53.709807,27.953389,Moldova,47.411631,28.369885,1,0,0,0,0,0," The government has identified Belarusian, Moldovan, Russian, Ukrainian, and Vietnamese victims exploited in Belarus"
106,Belarus,53.709807,27.953389,Russia,61.52401,105.318756,1,0,0,0,0,0," Data collected by NGOs suggests the majority of trafficking victims are men subjected to labor exploitation, primarily in Russia"
107,Belize,17.189877,-88.49765,United States,37.09024,-95.712891,0,0,1,1,0,0," In tourist regions, foreign child sex tourists, primarily from the United States, exploit child sex trafficking victims"
108,Belize,17.189877,-88.49765,Mexico,23.634501,-102.552784,0,1,1,0,1,0," Foreign men, women, and childrenŠparticularly from Central America, Mexico, and AsiaŠmigrate voluntarily to Belize in search of work and are often exploited by traffickers who recruit victims using false promises of relatively high-paying jobs or take advantage of migrants' illegal status to subject them to forced labor"
109,Bhutan,27.514162,90.433601,India,20.593684,78.96288,1,0,0,0,0,0," An expanding construction sector continues to increase demand for low-skilled foreign labor, primarily men from India who are vulnerable to trafficking"
110,Bhutan,27.514162,90.433601,India,20.593684,78.96288,0,1,1,0,0,0," While most domestic workers in Bhutan are young girls from poor, rural areas of the country, Indian women and girls also seek employment in this sector"
111,Bolivia,-16.290154,-63.58865299999999,Colombia,4.570868,-74.297333,0,1,0,1,0,0," To a more limited extent, women from neighboring countries, including Brazil, Colombia, and Paraguay, have been subjected to sex trafficking in Bolivia"
112,Bolivia,-16.290154,-63.58865299999999,Paraguay,-23.442503,-58.443832,0,1,0,1,0,0," To a more limited extent, women from neighboring countries, including Brazil, Colombia, and Paraguay, have been subjected to sex trafficking in Bolivia"
113,Bolivia,-16.290154,-63.58865299999999,Argentina,-38.416097,-63.61667199999999,0,1,1,1,0,0," Bolivian women and girls are found in sex trafficking within Bolivia and in neighboring countries such as Argentina, Brazil, Panama, Peru, and Chile"
114,Bolivia,-16.290154,-63.58865299999999,Chile,-35.675147,-71.542969,0,1,1,1,0,0," Bolivian women and girls are found in sex trafficking within Bolivia and in neighboring countries such as Argentina, Brazil, Panama, Peru, and Chile"
